# address	flags	name   (generated by lifted_oracle_plan.py)
0x0060c350	extcall,iat,indirect	?on_redraw@ListBox@@QAEXXZ
0x0060c5d0	extcall,iat,indirect	?on_scrolling@ListBox@@QAEXHH@Z
0x0060c6a0	indirect	?on_scrolled@ListBox@@QAEXHH@Z
0x0060c6d0	indirect	?on_right_double_click@ListBox@@QAEXHH@Z
0x0060c710	extcall,indirect,undef=4	?on_left_double_click@ListBox@@QAEXHH@Z
0x0060c7c0	ok	?on_dialog_focus@ListBox@@QAEXH@Z
0x0060c7d0	extcall,undef=4	?UNK2@ListBox@@QAEHPAD@Z
0x0060c920	extcall,iat,indirect,undef=4	?item@ListBox@@QAEHPADH@Z
0x0060c9b0	extcall,fs,iat,indirect,undef=4,x87	?update_changes@ListBox@@QAEHXZ
0x0060cb70	indirect,undef=4	?on_mousewheel@ListBox@@QAEXH@Z
0x0060cbc0	extcall,iat,indirect,undef=4	?on_mouse_move@ListBox@@QAEXHH@Z
0x0060ce10	indirect	?on_mouse_leave@ListBox@@QAEXHH@Z
0x0060ce40	extcall,fs,iat,indirect,undef=4,x87	sub_60ce40
0x0060ced0	undef=4	sub_60ced0
0x0060cf10	indirect,undef=4	sub_60cf10
0x0060cf50	extcall,iat,indirect	?on_redraw@thunk1_ListBox@@QAEXXZ
0x0060cf60	indirect	?on_mousewheel@thunk1_ListBox@@QAEXH@Z
0x0060cf70	extcall,iat,indirect	?on_mouse_move@thunk1_ListBox@@QAEXHH@Z
0x0060cf80	indirect	?on_mouse_leave@thunk1_ListBox@@QAEXHH@Z
0x0060cf90	extcall,iat,indirect	?on_left_down@thunk1_ListBox@@QAEXHH@Z
0x0060cfa0	indirect	?on_right_down@thunk1_ListBox@@QAEXHH@Z
0x0060cfb0	extcall,iat,indirect	?on_key_down@thunk1_ListBox@@QAEXH@Z
0x0060cfc0	extcall,indirect	?on_left_double_click@thunk1_ListBox@@QAEXHH@Z
0x0060cfd0	indirect	?on_right_double_click@thunk1_ListBox@@QAEXHH@Z
0x0060cfe0	indirect	?on_scrolled@thunk1_ListBox@@QAEXHH@Z
0x0060cff0	extcall,iat,indirect	?on_scrolling@thunk1_ListBox@@QAEXHH@Z
0x0060d000	ok	?on_dialog_focus@thunk1_ListBox@@QAEXH@Z
0x0060d010	extcall,fs,iat,indirect,undef=4,x87	sub_60d010
0x0060d030	extcall,fs,iat,indirect,undef=4,x87	sub_60d030
0x0060d040	extcall,fs,iat,indirect,x87	?attach@thunk1_ListBox@@QAEHPAUGraphicWin@@HHH@Z
0x0060d050	extcall,iat,indirect	?on_redraw@thunk3_ListBox@@QAEXXZ
0x0060d060	extcall	??__Eg_RADIOBUTTON_SPRITE_1@@YAXXZ
0x0060d080	extcall,iat,indirect,undef=4	??__Fg_RADIOBUTTON_SPRITE_1@@YAXXZ
0x0060d0a0	extcall	??__Eg_RADIOBUTTON_SPRITE_2@@YAXXZ
0x0060d0c0	extcall,iat,indirect,undef=4	??__Fg_RADIOBUTTON_SPRITE_2@@YAXXZ
0x0060d0e0	extcall,fs,iat,indirect,x87	??0RadioButton@@QAE@H@Z
0x0060d1b0	extcall,fs,iat,indirect,x87	?close@RadioButton@@QAEXXZ
0x0060d1f0	extcall,fs,iat,indirect,undef=4,x87	?attach@RadioButton@@QAEHPAUGraphicWin@@HHH@Z
0x0060d380	extcall,iat,indirect,undef=4	?calculate_dimensions@RadioButton@@QAEHXZ
0x0060d750	extcall,fs,iat,indirect,x87	?draw_item@RadioButton@@QAEXHH@Z
0x0060de10	extcall,fs,iat,indirect,undef=4,x87	?on_left_down@RadioButton@@QAEXHH@Z
0x0060e020	extcall,fs,iat,indirect,undef=4,x87	?on_key_down@RadioButton@@QAEHH@Z
0x0060e1e0	extcall,indirect,undef=4	?on_left_double_click@RadioButton@@QAEXHH@Z
0x0060e220	extcall,fs,iat,indirect,undef=4,x87	?on_redraw@RadioButton@@QAEXXZ
0x0060e300	indirect	?on_dialog_focus@RadioButton@@QAEXH@Z
0x0060e320	extcall,indirect	?on_mouse_move@RadioButton@@QAEXHH@Z
0x0060e4a0	indirect	?on_mouse_leave@RadioButton@@QAEXHH@Z
0x0060e4d0	extcall,fs,iat,indirect	?init_class@RadioButton@@QAAHXZ
0x0060e5d0	extcall,iat,indirect	?close_class@RadioButton@@QAAXXZ
0x0060e5f0	extcall	??__Eg_CHECKBOX_SPRITE_1@@YAXXZ
