source_idc_sha256,address,end_address,size,body_ranges,name,prototype,flags,binary_kind
42032fc2807f7dec6de1ed6efb9d18a70668a015f23e32d58149c9d9952bc0a7,0x00404440,0x00404456,22,0x00404440-0x00404456,sub_404440,,0x5400,game
42032fc2807f7dec6de1ed6efb9d18a70668a015f23e32d58149c9d9952bc0a7,0x00404460,0x0040446A,10,0x00404460-0x0040446A,unknown_libname_3,void __cdecl unknown_libname_3();,0x5444,library
42032fc2807f7dec6de1ed6efb9d18a70668a015f23e32d58149c9d9952bc0a7,0x00404470,0x00404486,22,0x00404470-0x00404486,sub_404470,,0x5400,game
42032fc2807f7dec6de1ed6efb9d18a70668a015f23e32d58149c9d9952bc0a7,0x00404490,0x0040449A,10,0x00404490-0x0040449A,unknown_libname_4,void __cdecl unknown_libname_4();,0x5444,library
42032fc2807f7dec6de1ed6efb9d18a70668a015f23e32d58149c9d9952bc0a7,0x004044A0,0x004044B6,22,0x004044A0-0x004044B6,sub_4044A0,,0x5400,game
42032fc2807f7dec6de1ed6efb9d18a70668a015f23e32d58149c9d9952bc0a7,0x004044C0,0x004044CA,10,0x004044C0-0x004044CA,unknown_libname_5,void __cdecl unknown_libname_5();,0x5444,library
42032fc2807f7dec6de1ed6efb9d18a70668a015f23e32d58149c9d9952bc0a7,0x004044D0,0x004044E6,22,0x004044D0-0x004044E6,sub_4044D0,,0x5400,game
42032fc2807f7dec6de1ed6efb9d18a70668a015f23e32d58149c9d9952bc0a7,0x004044F0,0x004044FA,10,0x004044F0-0x004044FA,unknown_libname_6,void __cdecl unknown_libname_6();,0x5444,library
42032fc2807f7dec6de1ed6efb9d18a70668a015f23e32d58149c9d9952bc0a7,0x00404500,0x00404516,22,0x00404500-0x00404516,sub_404500,,0x5400,game
42032fc2807f7dec6de1ed6efb9d18a70668a015f23e32d58149c9d9952bc0a7,0x00404520,0x0040452A,10,0x00404520-0x0040452A,unknown_libname_7,void __cdecl unknown_libname_7();,0x5444,library
42032fc2807f7dec6de1ed6efb9d18a70668a015f23e32d58149c9d9952bc0a7,0x00404530,0x00404546,22,0x00404530-0x00404546,sub_404530,,0x5400,game
42032fc2807f7dec6de1ed6efb9d18a70668a015f23e32d58149c9d9952bc0a7,0x00404550,0x0040455A,10,0x00404550-0x0040455A,unknown_libname_8,void __cdecl unknown_libname_8();,0x5444,library
