class,offset,name,size,type
AlphaNet,0xB2C,field_B2C,4,
AlphaNet,0xB30,field_B30,4,
AlphaNet,0xB34,field_B34,4,
AlphaNet,0xB38,field_B38,4,
AlphaNet,0xB3C,field_B3C,4,
AlphaNet,0xB40,field_B40,4,
AlphaNet,0xB44,field_B44,4,
AlphaNet,0xB48,field_B48,4,
AlphaNet,0xB4C,field_B4C,4,
AlphaNet,0xB50,field_B50,4,
AlphaNet,0xB54,field_B54,4,
AlphaNet,0xB58,field_B58,4,
AlphaNet,0xB5C,field_B5C,4,
AlphaNet,0xB60,field_B60,4,
AlphaNet,0xB64,field_B64,4,
AlphaNet,0xB68,field_B68,4,
AlphaNet,0xB6C,field_B6C,4,
AlphaNet,0xB70,field_B70,4,
AlphaNet,0xB74,field_B74,4,
AlphaNet,0xB78,field_B78,4,
AlphaNet,0xB7C,field_B7C,4,
AlphaNet,0xB80,field_B80,4,
AlphaNet,0xB84,field_B84,4,
AlphaNet,0xB88,field_B88,4,
AlphaNet,0xB8C,field_B8C,4,
AlphaNet,0xB90,field_B90,4,
AlphaNet,0xB94,field_B94,4,
AlphaNet,0xB98,field_B98,4,
AlphaNet,0xB9C,field_B9C,4,
AlphaNet,0xBA0,field_BA0,4,
AlphaNet,0xBA4,field_BA4,4,
AlphaNet,0xBA8,field_BA8,4,
AlphaNet,0xBAC,field_BAC,4,
AlphaNet,0xBB0,field_BB0,4,
AlphaNet,0xBB4,field_BB4,4,
AlphaNet,0xBB8,field_BB8,4,
AlphaNet,0xBBC,field_BBC,4,
AlphaNet,0xBC0,field_BC0,4,
AlphaNet,0xBC4,field_BC4,4,
AlphaNet,0xBC8,field_BC8,4,
AlphaNet,0xBCC,field_BCC,4,
AlphaNet,0xBD0,field_BD0,4,
AlphaNet,0xBD4,field_BD4,4,
AlphaNet,0xBD8,field_BD8,4,
AlphaNet,0xBDC,field_BDC,4,
AlphaNet,0xBE0,field_BE0,4,
AlphaNet,0xBE4,field_BE4,4,
AlphaNet,0xBE8,field_BE8,4,
AlphaNet,0xBEC,field_BEC,4,
AlphaNet,0xBF0,field_BF0,4,
AlphaNet,0xBF4,field_BF4,4,
AlphaNet,0xBF8,field_BF8,4,
AlphaNet,0xBFC,field_BFC,4,
AlphaNet,0xC00,field_C00,4,
AlphaNet,0xC04,field_C04,4,
AlphaNet,0xC08,field_C08,4,
