address,name,argument_count,evidence
0x00639090,sub_639090,3,"IDA 9.4 guess_type int __cdecl(int, int, int)"
0x006391F0,sub_6391f0,2,"IDA 9.4 guess_type int __cdecl(int, int)"
0x006392E0,sub_6392e0,1,IDA 9.4 guess_type int __cdecl(int)
0x00639380,nullsub_16,0,IDA 9.4 guess_type int()
0x00639390,sub_639390,1,IDA 9.4 guess_type int __cdecl(int)
0x006393C0,sub_6393c0,5,"IDA 9.4 guess_type int __cdecl(int, int, int, int, char)"
0x00639630,sub_639630,1,IDA 9.4 guess_type int __cdecl(int)
0x006396A0,sub_6396a0,6,"IDA 9.4 guess_type int __cdecl(int, int, int, int, int, int)"
0x00639E60,sub_639e60,4,"IDA 9.4 guess_type int __cdecl(int, int, int, int)"
0x0063A280,sub_63a280,4,"IDA 9.4 guess_type int __cdecl(int, int, int, int)"
0x0063A6F0,sub_63a6f0,4,"IDA 9.4 guess_type int __cdecl(int, int, int, int)"
0x0063A9D0,sub_63a9d0,6,"IDA 9.4 guess_type int __cdecl(int, int, int, int, int, int)"
0x0063AD60,sub_63ad60,1,IDA 9.4 guess_type int __cdecl(int)
0x0063AE20,sub_63ae20,1,IDA 9.4 guess_type int __cdecl(int)
0x0063AEE0,sub_63aee0,0,IDA 9.4 guess_type int()
0x0063AF00,sub_63af00,0,IDA 9.4 guess_type int()
0x0063AF20,sub_63af20,0,IDA 9.4 guess_type int()
0x0063AF40,sub_63af40,0,IDA 9.4 guess_type int()
0x0063AF60,sub_63af60,3,"IDA 9.4 guess_type int __cdecl(int, __int16, int)"
0x0063B072,sub_63b072,10,"IDA 9.4 guess_type int __cdecl(int, int, int, int, int, int, int, int, int, __int16)"
0x0063B11C,sub_63b11c,11,"IDA 9.4 guess_type int __cdecl(int, int, int, int, int, int, int, int, int, int, int)"
0x0063B1BF,sub_63b1bf,10,"IDA 9.4 guess_type int __cdecl(int, int, int, int, int, int, int, int, int, char)"
0x0063B241,sub_63b241,11,"IDA 9.4 guess_type int __cdecl(int, int, int, int, int, int, int, int, int, int, int)"
0x0063BAE0,sub_63bae0,0,IDA 9.4 guess_type int()
0x0063BB00,sub_63bb00,0,IDA 9.4 guess_type void __cdecl()
0x0063BB20,sub_63bb20,0,IDA 9.4 guess_type int()
0x0063BD10,sub_63bd10,0,IDA 9.4 guess_type int()
0x0063BF10,sub_63bf10,7,"IDA 9.4 guess_type int __thiscall(int, int, int, int, int, int, int)"
0x0063C3A0,sub_63c3a0,1,IDA 9.4 guess_type int __stdcall(int)
0x0063C4E0,sub_63c4e0,1,IDA 9.4 guess_type int __cdecl(int)
0x0063C500,nullsub_175,1,IDA 9.4 guess_type int __stdcall(int)
0x0063C510,sub_63c510,0,IDA 9.4 guess_type int()
0x0063C7C0,sub_63c7c0,0,IDA 9.4 guess_type int()
0x0063C9C0,nullsub_266,0,IDA 9.4 guess_type int()
0x0063C9D0,sub_63c9d0,0,IDA 9.4 guess_type int()
0x0063CAA0,sub_63caa0,0,IDA 9.4 guess_type int()
0x0063CD50,sub_63cd50,0,IDA 9.4 guess_type int()
0x0063CE20,sub_63ce20,0,IDA 9.4 guess_type int()
0x0063CEF0,sub_63cef0,0,IDA 9.4 guess_type int()
0x0063CF00,deflateInit_,4,"IDA 9.4 guess_type int __cdecl(int, int, int, int)"
0x0063CF30,sub_63cf30,8,"IDA 9.4 guess_type int __cdecl(int, int, int, int, int, int, int, int)"
0x0063D120,sub_63d120,1,IDA 9.4 guess_type int __cdecl(int)
0x0063D1A0,sub_63d1a0,2,"IDA 9.4 guess_type int __cdecl(int, int)"
0x0063D420,sub_63d420,2,"IDA 9.4 guess_type int __cdecl(int, int)"
0x0063D450,sub_63d450,1,IDA 9.4 guess_type int __cdecl(int)
0x0063D4D0,sub_63d4d0,1,IDA 9.4 guess_type int __cdecl(int)
0x0063D560,sub_63d560,1,IDA 9.4 guess_type int __cdecl(int)
0x0063D600,sub_63d600,2,"IDA 9.4 guess_type int __cdecl(int, int)"
0x0063D6F0,sub_63d6f0,1,IDA 9.4 guess_type int __cdecl(int)
0x0063D820,sub_63d820,3,"IDA 9.4 guess_type int __cdecl(int, int, int)"
0x0063D8A0,sub_63d8a0,2,"IDA 9.4 guess_type int __cdecl(int, int)"
0x0063DAD0,sub_63dad0,2,"IDA 9.4 guess_type int __cdecl(int, int)"
0x0063DC40,sub_63dc40,2,"IDA 9.4 guess_type int __cdecl(int, int)"
0x0063DF40,sub_63df40,1,IDA 9.4 guess_type int __cdecl(int)
0x0063DF90,sub_63df90,1,IDA 9.4 guess_type int __cdecl(int)
0x0063DFE0,sub_63dfe0,4,"IDA 9.4 guess_type int __cdecl(int, int, int, int)"
0x0063E0F0,sub_63e0f0,3,"IDA 9.4 guess_type int __cdecl(int, int, int)"
0x0063E110,inflate,2,"IDA 9.4 guess_type int __cdecl(int, int)"
0x0063E520,sub_63e520,0,IDA 9.4 guess_type int()
0x0063E540,sub_63e540,1,IDA 9.4 guess_type int __stdcall(int)
0x0063E590,sub_63e590,0,IDA 9.4 guess_type int()
0x0063E6E0,sub_63e6e0,4,"IDA 9.4 guess_type int __stdcall(int, size_t Size, int, int)"
0x0063E7F0,sub_63e7f0,2,"IDA 9.4 guess_type int __stdcall(int, int)"
0x0063E820,sub_63e820,0,IDA 9.4 guess_type int()
0x0063E860,sub_63e860,0,IDA 9.4 guess_type int()
0x0063E950,sub_63e950,8,"IDA 9.4 guess_type int __cdecl(int, int, int, int, int, int, float, int)"
0x0063F000,sub_63f000,5,"IDA 9.4 guess_type int __cdecl(int, int, int, int, int)"
0x0063F5E0,sub_63f5e0,6,"IDA 9.4 guess_type int __cdecl(int, int, int, int, int, int)"
0x0063F9B0,sub_63f9b0,1,IDA 9.4 guess_type int __cdecl(int)
0x0063FA80,sub_63fa80,1,IDA 9.4 guess_type int __cdecl(int)
0x0063FCA0,sub_63fca0,4,"IDA 9.4 guess_type int __cdecl(int, int, float, int)"
0x0063FE00,sub_63fe00,1,IDA 9.4 guess_type int __cdecl(int)
0x0063FFE0,sub_63ffe0,1,IDA 9.4 guess_type int __cdecl(int)
0x006401B0,sub_6401b0,3,"IDA 9.4 guess_type int __cdecl(int, int, int)"
0x006404F0,sub_6404f0,0,IDA 9.4 guess_type int()
0x00640A50,sub_640a50,3,"IDA 9.4 guess_type int __cdecl(int, size_t Count, size_t Size)"
0x00640A70,sub_640a70,2,"IDA 9.4 guess_type int __cdecl(int, void *Block)"
0x00640A80,sub_640a80,3,"IDA 9.4 guess_type int __cdecl(int, int, int)"
0x00640BB0,sub_640bb0,1,IDA 9.4 guess_type int __cdecl(int)
0x00640C30,sub_640c30,0,IDA 9.4 guess_type int()
0x00640E50,sub_640e50,1,IDA 9.4 guess_type int __cdecl(int)
0x00640EC0,sub_640ec0,3,"IDA 9.4 guess_type int __cdecl(int, int, int)"
0x00640F40,sub_640f40,4,"IDA 9.4 guess_type int __cdecl(int, int, int, int)"
0x00641000,__tr_align,1,IDA 9.4 guess_type int __cdecl(int)
0x00641280,__tr_flush_block,4,"IDA 9.4 guess_type int __cdecl(int, int, int, int)"
0x006414B0,_build_tree,2,"IDA 9.4 guess_type int __cdecl(int, int)"
0x006416F0,sub_6416f0,3,"IDA 9.4 guess_type int __cdecl(int, int, int)"
0x006417D0,_gen_bitlen,2,"IDA 9.4 guess_type int __cdecl(int, int)"
0x00641A00,sub_641a00,1,IDA 9.4 guess_type int __cdecl(int)
0x00641A70,sub_641a70,3,"IDA 9.4 guess_type int __cdecl(int, int, int)"
0x00641B60,_send_all_trees,4,"IDA 9.4 guess_type int __cdecl(int, int, int, int)"
0x00641DD0,_send_tree,3,"IDA 9.4 guess_type int __cdecl(int, int, int)"
0x00642350,sub_642350,3,"IDA 9.4 guess_type int __cdecl(int, int, int)"
0x00642480,_compress_block,3,"IDA 9.4 guess_type int __cdecl(int, int, int)"
0x006428C0,sub_6428c0,1,IDA 9.4 guess_type int __cdecl(int)
0x00642940,sub_642940,2,"IDA 9.4 guess_type int __cdecl(int, int)"
0x00642960,sub_642960,1,IDA 9.4 guess_type int __cdecl(int)
0x006429F0,sub_6429f0,1,IDA 9.4 guess_type int __cdecl(int)
0x00642A70,sub_642a70,4,"IDA 9.4 guess_type int __cdecl(int, int, int, int)"
0x00642B10,sub_642b10,3,"IDA 9.4 guess_type int __cdecl(int, int, int)"
0x00642BB0,sub_642bb0,3,"IDA 9.4 guess_type int __cdecl(int, int, int)"
0x00642C20,_inflate_blocks,3,"IDA 9.4 guess_type int __cdecl(int, int, int)"
0x00643950,sub_643950,3,"IDA 9.4 guess_type int __cdecl(int, int, int)"
0x00643990,sub_643990,4,"IDA 9.4 guess_type int __cdecl(int, int, int, int)"
0x006439F0,_huft_build,8,"IDA 9.4 guess_type int __cdecl(int, int, int, int, int, int, int, int)"
0x00643EB0,sub_643eb0,8,"IDA 9.4 guess_type int __cdecl(int, int, int, int, int, int, int, int)"
0x00643FA0,sub_643fa0,4,"IDA 9.4 guess_type int __cdecl(int, int, int, int)"
0x006440E0,sub_6440e0,2,"IDA 9.4 guess_type int __cdecl(int, int)"
0x00644100,sub_644100,2,"IDA 9.4 guess_type int __cdecl(int, int)"
0x00644140,sub_644140,5,"IDA 9.4 guess_type int __cdecl(char, char, int, int, int)"
0x00644180,_inflate_codes,3,"IDA 9.4 guess_type int __cdecl(int, int, int)"
0x00644910,sub_644910,2,"IDA 9.4 guess_type int __cdecl(int, int)"
0x00644930,sub_644930,3,"IDA 9.4 guess_type int __cdecl(int, int, int)"
0x00644A70,_inflate_fast,6,"IDA 9.4 guess_type int __cdecl(int, int, int, int, int, int)"
0x00644DD2,__cinit,0,IDA 9.4 guess_type int()
0x00644DFF,_exit,1,IDA 9.4 guess_type void __cdecl __noreturn(int Code)
0x00644E10,__exit,1,IDA 9.4 guess_type void __cdecl __noreturn(int Code)
0x00644EC6,__lockexit,0,IDA 9.4 guess_type int()
0x00644ECF,__unlockexit,0,IDA 9.4 guess_type int()
0x00644ED8,__initterm,2,"IDA 9.4 guess_type void __cdecl(_PVFV *First, _PVFV *Last)"
0x00644EF2,_free,1,IDA 9.4 guess_type void __cdecl(void *Block)
0x00644F3A,_abs,1,IDA 9.4 guess_type int __cdecl(int Number)
0x00644F79,sub_644f79,2,"IDA 9.4 guess_type int __cdecl(int, int)"
0x00644F80,sub_644f80,2,"IDA 9.4 guess_type int __cdecl(int, int)"
0x0064524C,__unwind_handler,4,"IDA 9.4 guess_type int __cdecl(int, int, int, int)"
0x0064526E,__local_unwind2,2,"IDA 9.4 guess_type int __cdecl(int, int)"
0x006452D6,__abnormal_termination,0,IDA 9.4 guess_type int __cdecl()
0x006452F9,__NLG_Notify1,1,IDA 9.4 guess_type int __stdcall(int)
0x00645302,__NLG_Notify,1,IDA 9.4 guess_type int __stdcall(int)
0x0064531A,__onexit,1,IDA 9.4 guess_type _onexit_t __cdecl(_onexit_t Func)
0x00645398,_atexit,1,IDA 9.4 guess_type int __cdecl(void (__cdecl *)())
0x006453AA,___onexitinit,0,IDA 9.4 guess_type int()
0x006453E0,_strlen,1,IDA 9.4 guess_type size_t __cdecl(const char *Str)
0x00645460,_strcpy,2,"IDA 9.4 guess_type char *__cdecl(char *Destination, const char *Source)"
0x00645470,_strcat,2,"IDA 9.4 guess_type char *__cdecl(char *Destination, const char *Source)"
0x00645550,__alloca_probe,1,IDA 9.4 guess_type int __cdecl(char)
0x00645598,_fclose,1,IDA 9.4 guess_type int __cdecl(FILE *Stream)
0x006455C9,__fclose_lk,1,IDA 9.4 guess_type int __cdecl(int)
0x00645615,__fsopen,3,"IDA 9.4 guess_type FILE *__cdecl(const char *FileName, const char *Mode, int ShFlag)"
0x00645646,_fopen,2,"IDA 9.4 guess_type FILE *__cdecl(const char *FileName, const char *Mode)"
