address,name,source_location,generated,size,span_classes,tier,original_bytes,rebuilt_bytes,original_mnemonics,rebuilt_mnemonics,first_divergence,note,refusal_reason
0x006139B0,?init@FileWin@@QAEHPADPAUGraphicWin@@PAUFileWinConstruct@@@Z,,0,487,primary=1;eh=0;shared=0;selfmod=0,MISMATCH,487,5,159,2,0,#0: original 'push' vs rebuilt 'xor',
0x00613BA0,?prepare_sprites@FileWin@@QAEHXZ,,0,444,primary=1;eh=1;shared=0;selfmod=0,MISMATCH,423,3,115,2,0,#0: original 'push' vs rebuilt 'xor',
0x00613D50,?save@FileWin@@QAEXXZ,src/recovered/units/00613d50.cpp,0,524,primary=1;eh=0;shared=0;selfmod=0,MISMATCH,524,487,158,151,0,#0: original 'sub' vs rebuilt 'push',
0x00613F60,?load@FileWin@@QAEXXZ,src/recovered/units/00613f60.cpp,0,467,primary=1;eh=0;shared=0;selfmod=0,MISMATCH,467,438,144,138,0,#0: original 'sub' vs rebuilt 'push',
0x006141C0,?set_def_name@FileWin@@QAEHPAD@Z,,0,265,primary=1;eh=0;shared=0;selfmod=0,MISMATCH,265,5,88,2,0,#0: original 'sub' vs rebuilt 'xor',
0x006142D0,?set_directory@FileWin@@QAEHPAD@Z,src/recovered/units/006142d0.cpp,0,78,primary=1;eh=0;shared=0;selfmod=0,BYTE_EXACT,78,78,,,,,
0x00614320,?UNK1@FileWin@@QAEXXZ,src/filewin.cpp:50,0,33,primary=1;eh=0;shared=0;selfmod=0,BYTE_EXACT,33,33,,,,,
0x00614350,?UNK2@FileWin@@QAEXH@Z,src/filewin.cpp:36,0,3,primary=1;eh=0;shared=0;selfmod=0,BYTE_EXACT,3,3,,,,,
0x00614360,?UNK3@FileWin@@QAEHPAD@Z,,0,820,primary=1;eh=0;shared=0;selfmod=0,MISMATCH,820,5,263,2,0,#0: original 'sub' vs rebuilt 'xor',
0x006146A0,?UNK4@FileWin@@QAEXXZ,src/recovered/units/006146a0.cpp,0,1209,primary=1;eh=0;shared=0;selfmod=0,MISMATCH,1209,1140,347,320,0,#0: original 'sub' vs rebuilt 'push',
0x00614B60,?UNK5@FileWin@@QAEXXZ,src/recovered/units/00614b60.cpp,0,24,primary=1;eh=0;shared=0;selfmod=0,BYTE_EXACT,24,24,,,,,
0x00614B80,?UNK6@FileWin@@QAEXXZ,src/filewin.cpp:23,0,1,primary=1;eh=0;shared=0;selfmod=0,BYTE_EXACT,1,1,,,,,
