verdict,class,offset,built,detail,evidence
absent,Datalink,0x187F4,StringBox,0x2BA0 bytes,??0Datalink@@QAE@XZ: call ??0StringBox@@QAE@XZ on this+0x187F4 at 0x0042912B
absent,Datalink,0x19214,Scroll,0x214C bytes,??1Datalink@@QAE@XZ: call ??1Scroll@@QAE@XZ on this+0x19214 at 0x00432331
base,DesignWin,0x0,GraphicWin,"src/ bases: ['GraphicWin', 'SubInterface', 'Win']",??0DesignWin@@QAE@XZ: call ??0GraphicWin@@QAE@XZ on this+0x0 at 0x004344A0
agreed,DesignWin,0x12758,Spot,spot1_ 0xC,??0DesignWin@@QAE@XZ: call ??0Spot@@QAE@XZ on this+0x12758 at 0x004344DB
agreed,DesignWin,0x12764,Spot,spot2_ 0xC,??0DesignWin@@QAE@XZ: call ??0Spot@@QAE@XZ on this+0x12764 at 0x004344EA
agreed,DesignWin,0x12774,Time,time_ 0x28,??0DesignWin@@QAE@XZ: call ??0Time@@QAE@XZ on this+0x12774 at 0x004344F9
agreed,DesignWin,0x1279C,Caviar,caviar_ 0x13D0,??0DesignWin@@QAE@XZ: call ??0Caviar@@QAE@XZ on this+0x1279C at 0x00434508
agreed,DesignWin,0x13C6C,Buffer,buffer_ 0x588,??0DesignWin@@QAE@XZ: call ??0Buffer@@QAE@XZ on this+0x13C6C at 0x00434517
agreed,DesignWin,0x14540,Font,font1_ 0x28,??0DesignWin@@QAE@XZ: call ??0Font@@QAE@XZ on this+0x14540 at 0x00434526
agreed,DesignWin,0x14568,Font,font2_ 0x28,??0DesignWin@@QAE@XZ: call ??0Font@@QAE@XZ on this+0x14568 at 0x00434535
agreed,DesignWin,0x14590,Font,font3_ 0x28,??0DesignWin@@QAE@XZ: call ??0Font@@QAE@XZ on this+0x14590 at 0x00434544
agreed,Dialog,0x4,Heap,heap_ 0x14,??0Dialog@@QAE@XZ: call ??0Heap@@QAE@XZ on this+0x4 at 0x00608C1E
at-zero,Dialogs,0x0,ListBox,src/ bases: [],??0Dialogs@@QAE@H@Z: call ??0ListBox@@QAE@H@Z on this+0x0 at 0x006128BE
absent,Dialogs,0x44,RadioButton,0xB24 bytes,??0Dialogs@@QAE@H@Z: call ??0RadioButton@@QAE@H@Z on this+0x44 at 0x006128D0
absent,Dialogs,0x58,CheckBox,0xB28 bytes,??0Dialogs@@QAE@H@Z: call ??0CheckBox@@QAE@H@Z on this+0x58 at 0x006128DF
absent,Dialogs,0x70,SpriteBox,0x460 bytes,??0Dialogs@@QAE@H@Z: call ??0SpriteBox@@QAE@H@Z on this+0x70 at 0x006128EE
