program_sha256,ghidra_version,language,address,end_address,size,body_ranges,name,signature,calling_convention,is_thunk
01901cbf7196b0c5d0df9540a029520f5df8fd9a6b343deef8b5663872805fcf,12.1.2,x86:LE:32:default,0x004032A0,0x00403335,149,"0x004032A0-0x00403335","FUN_004032a0","undefined FUN_004032a0()",unknown,false
01901cbf7196b0c5d0df9540a029520f5df8fd9a6b343deef8b5663872805fcf,12.1.2,x86:LE:32:default,0x00403340,0x00403544,516,"0x00403340-0x00403544","FUN_00403340","undefined FUN_00403340()",unknown,false
01901cbf7196b0c5d0df9540a029520f5df8fd9a6b343deef8b5663872805fcf,12.1.2,x86:LE:32:default,0x00403550,0x0040360F,191,"0x00403550-0x0040360F","FUN_00403550","undefined FUN_00403550()",unknown,false
01901cbf7196b0c5d0df9540a029520f5df8fd9a6b343deef8b5663872805fcf,12.1.2,x86:LE:32:default,0x00403620,0x00403677,87,"0x00403620-0x00403677","FUN_00403620","undefined FUN_00403620()",unknown,false
01901cbf7196b0c5d0df9540a029520f5df8fd9a6b343deef8b5663872805fcf,12.1.2,x86:LE:32:default,0x00403680,0x0040382F,431,"0x00403680-0x0040382F","FUN_00403680","undefined FUN_00403680()",unknown,false
01901cbf7196b0c5d0df9540a029520f5df8fd9a6b343deef8b5663872805fcf,12.1.2,x86:LE:32:default,0x00403830,0x00403AE5,693,"0x00403830-0x00403AE5","FUN_00403830","undefined FUN_00403830()",unknown,false
01901cbf7196b0c5d0df9540a029520f5df8fd9a6b343deef8b5663872805fcf,12.1.2,x86:LE:32:default,0x00403AF0,0x00403B70,128,"0x00403AF0-0x00403B70","FUN_00403af0","undefined FUN_00403af0()",unknown,false
01901cbf7196b0c5d0df9540a029520f5df8fd9a6b343deef8b5663872805fcf,12.1.2,x86:LE:32:default,0x00403B70,0x00403B94,36,"0x00403B70-0x00403B94","FUN_00403b70","undefined FUN_00403b70()",unknown,false
01901cbf7196b0c5d0df9540a029520f5df8fd9a6b343deef8b5663872805fcf,12.1.2,x86:LE:32:default,0x00403BA0,0x00403BDF,63,"0x00403BA0-0x00403BDF","FUN_00403ba0","undefined FUN_00403ba0()",unknown,false
01901cbf7196b0c5d0df9540a029520f5df8fd9a6b343deef8b5663872805fcf,12.1.2,x86:LE:32:default,0x00403BE0,0x0040400D,1069,"0x00403BE0-0x0040400D","FUN_00403be0","undefined FUN_00403be0()",unknown,false
01901cbf7196b0c5d0df9540a029520f5df8fd9a6b343deef8b5663872805fcf,12.1.2,x86:LE:32:default,0x00404010,0x00404067,87,"0x00404010-0x00404067","FUN_00404010","undefined FUN_00404010()",unknown,false
01901cbf7196b0c5d0df9540a029520f5df8fd9a6b343deef8b5663872805fcf,12.1.2,x86:LE:32:default,0x00404070,0x004041BF,335,"0x00404070-0x004041BF","FUN_00404070","undefined FUN_00404070()",unknown,false
01901cbf7196b0c5d0df9540a029520f5df8fd9a6b343deef8b5663872805fcf,12.1.2,x86:LE:32:default,0x004041E0,0x004041F7,23,"0x004041E0-0x004041F7","FUN_004041e0","undefined FUN_004041e0()",unknown,false
01901cbf7196b0c5d0df9540a029520f5df8fd9a6b343deef8b5663872805fcf,12.1.2,x86:LE:32:default,0x00404230,0x0040423A,10,"0x00404230-0x0040423A","FUN_00404230","undefined FUN_00404230()",unknown,false
01901cbf7196b0c5d0df9540a029520f5df8fd9a6b343deef8b5663872805fcf,12.1.2,x86:LE:32:default,0x00404270,0x00404273,3,"0x00404270-0x00404273","FUN_00404270","undefined FUN_00404270()",unknown,false
01901cbf7196b0c5d0df9540a029520f5df8fd9a6b343deef8b5663872805fcf,12.1.2,x86:LE:32:default,0x004042C0,0x00404309,73,"0x004042C0-0x00404309","FUN_004042c0","undefined FUN_004042c0()",unknown,false
01901cbf7196b0c5d0df9540a029520f5df8fd9a6b343deef8b5663872805fcf,12.1.2,x86:LE:32:default,0x00404310,0x00404395,133,"0x00404310-0x00404395","FUN_00404310","undefined FUN_00404310()",unknown,false
01901cbf7196b0c5d0df9540a029520f5df8fd9a6b343deef8b5663872805fcf,12.1.2,x86:LE:32:default,0x004043A0,0x004043C1,33,"0x004043A0-0x004043C1","FUN_004043a0","undefined FUN_004043a0()",unknown,false
01901cbf7196b0c5d0df9540a029520f5df8fd9a6b343deef8b5663872805fcf,12.1.2,x86:LE:32:default,0x004043D0,0x0040441C,76,"0x004043D0-0x0040441C","FUN_004043d0","undefined FUN_004043d0()",unknown,false
01901cbf7196b0c5d0df9540a029520f5df8fd9a6b343deef8b5663872805fcf,12.1.2,x86:LE:32:default,0x00404860,0x00404896,54,"0x00404860-0x00404896","FUN_00404860","undefined FUN_00404860()",unknown,false
01901cbf7196b0c5d0df9540a029520f5df8fd9a6b343deef8b5663872805fcf,12.1.2,x86:LE:32:default,0x004048A0,0x004048F7,87,"0x004048A0-0x004048F7","FUN_004048a0","undefined FUN_004048a0()",unknown,false
01901cbf7196b0c5d0df9540a029520f5df8fd9a6b343deef8b5663872805fcf,12.1.2,x86:LE:32:default,0x00404900,0x00404917,23,"0x00404900-0x00404917","FUN_00404900","undefined FUN_00404900()",unknown,false
01901cbf7196b0c5d0df9540a029520f5df8fd9a6b343deef8b5663872805fcf,12.1.2,x86:LE:32:default,0x00404920,0x00404A7C,348,"0x00404920-0x00404A7C","FUN_00404920","undefined FUN_00404920()",unknown,false
01901cbf7196b0c5d0df9540a029520f5df8fd9a6b343deef8b5663872805fcf,12.1.2,x86:LE:32:default,0x00404A80,0x00404AFF,127,"0x00404A80-0x00404AFF","FUN_00404a80","undefined FUN_00404a80()",unknown,false
01901cbf7196b0c5d0df9540a029520f5df8fd9a6b343deef8b5663872805fcf,12.1.2,x86:LE:32:default,0x00404B10,0x00404EEF,991,"0x00404B10-0x00404EEF","FUN_00404b10","undefined FUN_00404b10()",unknown,false
01901cbf7196b0c5d0df9540a029520f5df8fd9a6b343deef8b5663872805fcf,12.1.2,x86:LE:32:default,0x00404EF0,0x00404F7A,138,"0x00404EF0-0x00404F7A","FUN_00404ef0","undefined FUN_00404ef0()",unknown,false
01901cbf7196b0c5d0df9540a029520f5df8fd9a6b343deef8b5663872805fcf,12.1.2,x86:LE:32:default,0x00404F90,0x00404FA4,20,"0x00404F90-0x00404FA4","FUN_00404f90","undefined FUN_00404f90()",unknown,false
01901cbf7196b0c5d0df9540a029520f5df8fd9a6b343deef8b5663872805fcf,12.1.2,x86:LE:32:default,0x00404FB0,0x0040501C,108,"0x00404FB0-0x0040501C","FUN_00404fb0","undefined FUN_00404fb0()",unknown,false
01901cbf7196b0c5d0df9540a029520f5df8fd9a6b343deef8b5663872805fcf,12.1.2,x86:LE:32:default,0x00405050,0x00405093,67,"0x00405050-0x00405093","FUN_00405050","undefined FUN_00405050()",unknown,false
01901cbf7196b0c5d0df9540a029520f5df8fd9a6b343deef8b5663872805fcf,12.1.2,x86:LE:32:default,0x004050A0,0x00405131,145,"0x004050A0-0x00405131","FUN_004050a0","undefined FUN_004050a0()",unknown,false
01901cbf7196b0c5d0df9540a029520f5df8fd9a6b343deef8b5663872805fcf,12.1.2,x86:LE:32:default,0x00405140,0x0040559B,1115,"0x00405140-0x0040559B","FUN_00405140","undefined FUN_00405140()",unknown,false
01901cbf7196b0c5d0df9540a029520f5df8fd9a6b343deef8b5663872805fcf,12.1.2,x86:LE:32:default,0x004055A0,0x00405910,880,"0x004055A0-0x00405910","FUN_004055a0","undefined FUN_004055a0()",unknown,false
01901cbf7196b0c5d0df9540a029520f5df8fd9a6b343deef8b5663872805fcf,12.1.2,x86:LE:32:default,0x00405910,0x00405B01,497,"0x00405910-0x00405B01","FUN_00405910","undefined FUN_00405910()",unknown,false
01901cbf7196b0c5d0df9540a029520f5df8fd9a6b343deef8b5663872805fcf,12.1.2,x86:LE:32:default,0x00405B20,0x00405C72,338,"0x00405B20-0x00405C72","FUN_00405b20","undefined FUN_00405b20()",unknown,false
01901cbf7196b0c5d0df9540a029520f5df8fd9a6b343deef8b5663872805fcf,12.1.2,x86:LE:32:default,0x00405C80,0x00406251,1489,"0x00405C80-0x00406251","FUN_00405c80","undefined FUN_00405c80()",unknown,false
01901cbf7196b0c5d0df9540a029520f5df8fd9a6b343deef8b5663872805fcf,12.1.2,x86:LE:32:default,0x00406260,0x00406323,195,"0x00406260-0x00406323","FUN_00406260","undefined FUN_00406260()",unknown,false
01901cbf7196b0c5d0df9540a029520f5df8fd9a6b343deef8b5663872805fcf,12.1.2,x86:LE:32:default,0x00406330,0x0040637C,76,"0x00406330-0x0040637C","FUN_00406330","undefined FUN_00406330()",unknown,false
01901cbf7196b0c5d0df9540a029520f5df8fd9a6b343deef8b5663872805fcf,12.1.2,x86:LE:32:default,0x00406380,0x004064CC,332,"0x00406380-0x004064CC","FUN_00406380","undefined FUN_00406380()",unknown,false
01901cbf7196b0c5d0df9540a029520f5df8fd9a6b343deef8b5663872805fcf,12.1.2,x86:LE:32:default,0x004064D0,0x0040666F,415,"0x004064D0-0x0040666F","FUN_004064d0","undefined FUN_004064d0()",unknown,false
01901cbf7196b0c5d0df9540a029520f5df8fd9a6b343deef8b5663872805fcf,12.1.2,x86:LE:32:default,0x00406670,0x004066BB,75,"0x00406670-0x004066BB","FUN_00406670","undefined FUN_00406670()",unknown,false
01901cbf7196b0c5d0df9540a029520f5df8fd9a6b343deef8b5663872805fcf,12.1.2,x86:LE:32:default,0x004066C0,0x00406818,344,"0x004066C0-0x00406818","FUN_004066c0","undefined FUN_004066c0()",unknown,false
01901cbf7196b0c5d0df9540a029520f5df8fd9a6b343deef8b5663872805fcf,12.1.2,x86:LE:32:default,0x00406820,0x0040683B,27,"0x00406820-0x0040683B","FUN_00406820","undefined FUN_00406820()",unknown,false
01901cbf7196b0c5d0df9540a029520f5df8fd9a6b343deef8b5663872805fcf,12.1.2,x86:LE:32:default,0x00406850,0x00406855,5,"0x00406850-0x00406855","thunk_FUN_005e3820","undefined thunk_FUN_005e3820()",unknown,true
01901cbf7196b0c5d0df9540a029520f5df8fd9a6b343deef8b5663872805fcf,12.1.2,x86:LE:32:default,0x00406880,0x004068D8,88,"0x00406880-0x004068D8","FUN_00406880","undefined FUN_00406880()",unknown,false
01901cbf7196b0c5d0df9540a029520f5df8fd9a6b343deef8b5663872805fcf,12.1.2,x86:LE:32:default,0x004068E0,0x00406901,33,"0x004068E0-0x00406901","FUN_004068e0","undefined FUN_004068e0()",unknown,false
01901cbf7196b0c5d0df9540a029520f5df8fd9a6b343deef8b5663872805fcf,12.1.2,x86:LE:32:default,0x00406910,0x00406A74,356,"0x00406910-0x00406A74","FUN_00406910","undefined FUN_00406910()",unknown,false
