address,end_address,size,body_ranges,name,binary_kind,recovery_state,ida9_relation,ida9_address,ida9_end_address,ida9_size,ida9_body_ranges,ida9_name,ghidra_relation,ghidra_address,ghidra_end_address,ghidra_size,ghidra_body_ranges,ghidra_name
0x00404010,0x00404067,105,0x00404010-0x00404067;0x006506DC-0x006506EE,??0AlphaMovie@@QAE@XZ,game,unrecovered,exact,0x00404010,0x00404067,105,0x00404010-0x00404067;0x006506DC-0x006506EE,sub_404010,entry_range,0x00404010,0x00404067,87,0x00404010-0x00404067,FUN_00404010
0x00404070,0x004041BF,335,0x00404070-0x004041BF,?exec@AlphaMovie@@QAEHPAD@Z,game,unrecovered,exact,0x00404070,0x004041BF,335,0x00404070-0x004041BF,sub_404070,exact,0x00404070,0x004041BF,335,0x00404070-0x004041BF,FUN_00404070
0x004041C0,0x004041D2,18,0x004041C0-0x004041D2,?on_modal@AlphaMovie@@QAE_NXZ,game,source_complete,exact,0x004041C0,0x004041D2,18,0x004041C0-0x004041D2,sub_4041C0,missing,,,,,
0x004041E0,0x004041F7,23,0x004041E0-0x004041F7,?close@AlphaMovie@@QAEXXZ,game,unrecovered,missing,,,,,,exact,0x004041E0,0x004041F7,23,0x004041E0-0x004041F7,FUN_004041e0
0x00404200,0x00404208,8,0x00404200-0x00404208,?UNK1@AlphaMovie@@QAEXXZ,game,unrecovered,missing,,,,,,missing,,,,,
0x00404210,0x00404220,16,0x00404210-0x00404220,?on_key_click@AlphaMovie@@QAEHHH@Z,game,source_complete,exact,0x00404210,0x00404220,16,0x00404210-0x00404220,sub_404210,missing,,,,,
0x00404220,0x00404225,5,0x00404220-0x00404225,?UNK2@AlphaMovie@@QAEHHHH@Z,game,source_complete,exact,0x00404220,0x00404225,5,0x00404220-0x00404225,sub_404220,missing,,,,,
0x00404230,0x0040423A,10,0x00404230-0x0040423A,?UNK3@AlphaMovie@@QAEHH@Z,game,source_complete,exact,0x00404230,0x0040423A,10,0x00404230-0x0040423A,unknown_libname_2,exact,0x00404230,0x0040423A,10,0x00404230-0x0040423A,FUN_00404230
0x00404240,0x00404245,5,0x00404240-0x00404245,?UNK4@AlphaMovie@@QAEHHHHH@Z,game,source_complete,exact,0x00404240,0x00404245,5,0x00404240-0x00404245,sub_404240,missing,,,,,
0x00404250,0x00404255,5,0x00404250-0x00404255,?UNK5@AlphaMovie@@QAEHH@Z,game,source_complete,exact,0x00404250,0x00404255,5,0x00404250-0x00404255,sub_404250,missing,,,,,
0x00404260,0x00404263,3,0x00404260-0x00404263,?UNK6@AlphaMovie@@QAEXHH@Z,game,source_complete,exact,0x00404260,0x00404263,3,0x00404260-0x00404263,nullsub_20,missing,,,,,
0x00404270,0x00404273,3,0x00404270-0x00404273,?UNK6@AlphaMovie@@QAEXH@Z,game,source_complete,exact,0x00404270,0x00404273,3,0x00404270-0x00404273,nullsub_21,exact,0x00404270,0x00404273,3,0x00404270-0x00404273,FUN_00404270
0x00404280,0x00404281,1,0x00404280-0x00404281,?UNK7@AlphaMovie@@QAEXXZ,game,source_complete,exact,0x00404280,0x00404281,1,0x00404280-0x00404281,nullsub_22,missing,,,,,
0x00404290,0x00404298,8,0x00404290-0x00404298,?update@AlphaMovie@@QAEXXZ,game,unrecovered,exact,0x00404290,0x00404298,8,0x00404290-0x00404298,sub_404290,missing,,,,,
0x004042A0,0x004042A8,8,0x004042A0-0x004042A8,?UNK8@AlphaMovie@@QAEHHH@Z,game,source_complete,exact,0x004042A0,0x004042A8,8,0x004042A0-0x004042A8,sub_4042A0,missing,,,,,
0x004042B0,0x004042B3,3,0x004042B0-0x004042B3,sub_4042b0,game,original_dependency,exact,0x004042B0,0x004042B3,3,0x004042B0-0x004042B3,??0Iostream_init@@QAE@XZ,missing,,,,,
0x004042C0,0x00404309,94,0x004042C0-0x00404309;0x006506F0-0x00650705,??1MCIVideo@@QAE@XZ,game,unrecovered,exact,0x004042C0,0x00404309,94,0x004042C0-0x00404309;0x006506F0-0x00650705,sub_4042C0,entry_range,0x004042C0,0x00404309,73,0x004042C0-0x00404309,FUN_004042c0
0x00404310,0x00404395,176,0x00404310-0x00404395;0x00650710-0x0065073B,??1AlphaMovie@@QAE@XZ,game,original_dependency,exact,0x00404310,0x00404395,176,0x00404310-0x00404395;0x00650710-0x0065073B,sub_404310,entry_range,0x00404310,0x00404395,133,0x00404310-0x00404395,FUN_00404310
0x004043A0,0x004043C1,33,0x004043A0-0x004043C1,??_GAlphaMovie@@UAEPAXI@Z,game,source_complete,exact,0x004043A0,0x004043C1,33,0x004043A0-0x004043C1,sub_4043A0,exact,0x004043A0,0x004043C1,33,0x004043A0-0x004043C1,FUN_004043a0
0x004043D0,0x0040441C,100,0x004043D0-0x0040441C;0x00650740-0x00650758,??1UV2Player@@QAE@XZ,game,unrecovered,exact,0x004043D0,0x0040441C,100,0x004043D0-0x0040441C;0x00650740-0x00650758,sub_4043D0,entry_range,0x004043D0,0x0040441C,76,0x004043D0-0x0040441C,FUN_004043d0
0x00404420,0x0040442B,11,0x00404420-0x0040442B,sub_404420,game,source_complete,exact,0x00404420,0x0040442B,11,0x00404420-0x0040442B,sub_404420,missing,,,,,
0x00404430,0x0040443B,11,0x00404430-0x0040443B,??3AlphaMovie@@SAXPAXI@Z,game,source_complete,missing,,,,,,missing,,,,,
0x00404440,0x00404456,22,0x00404440-0x00404456,??__Eg_UNUSED_SPRITE_VAR02@@YAXXZ,game,source_complete,exact,0x00404440,0x00404456,22,0x00404440-0x00404456,sub_404440,missing,,,,,
0x00404460,0x0040446A,10,0x00404460-0x0040446A,??__Fg_UNUSED_SPRITE_VAR02@@YAXXZ,game,source_complete,exact,0x00404460,0x0040446A,10,0x00404460-0x0040446A,unknown_libname_3,missing,,,,,
0x00404470,0x00404486,22,0x00404470-0x00404486,??__Eg_UNUSED_SPRITE_VAR11@@YAXXZ,game,source_complete,exact,0x00404470,0x00404486,22,0x00404470-0x00404486,sub_404470,missing,,,,,
0x00404490,0x0040449A,10,0x00404490-0x0040449A,??__Fg_UNUSED_SPRITE_VAR11@@YAXXZ,game,source_complete,exact,0x00404490,0x0040449A,10,0x00404490-0x0040449A,unknown_libname_4,missing,,,,,
0x004044A0,0x004044B6,22,0x004044A0-0x004044B6,??__Eg_UNUSED_SPRITE_VAR06@@YAXXZ,game,source_complete,exact,0x004044A0,0x004044B6,22,0x004044A0-0x004044B6,sub_4044A0,missing,,,,,
0x004044C0,0x004044CA,10,0x004044C0-0x004044CA,??__Fg_UNUSED_SPRITE_VAR06@@YAXXZ,game,source_complete,exact,0x004044C0,0x004044CA,10,0x004044C0-0x004044CA,unknown_libname_5,missing,,,,,
0x004044D0,0x004044E6,22,0x004044D0-0x004044E6,??__Eg_UNUSED_SPRITE_VAR09@@YAXXZ,game,source_complete,exact,0x004044D0,0x004044E6,22,0x004044D0-0x004044E6,sub_4044D0,missing,,,,,
0x004044F0,0x004044FA,10,0x004044F0-0x004044FA,??__Fg_UNUSED_SPRITE_VAR09@@YAXXZ,game,source_complete,exact,0x004044F0,0x004044FA,10,0x004044F0-0x004044FA,unknown_libname_6,missing,,,,,
0x00404500,0x00404516,22,0x00404500-0x00404516,??__Eg_UNUSED_SPRITE_VAR21@@YAXXZ,game,source_complete,exact,0x00404500,0x00404516,22,0x00404500-0x00404516,sub_404500,missing,,,,,
0x00404520,0x0040452A,10,0x00404520-0x0040452A,??__Fg_UNUSED_SPRITE_VAR21@@YAXXZ,game,source_complete,exact,0x00404520,0x0040452A,10,0x00404520-0x0040452A,unknown_libname_7,missing,,,,,
0x00404530,0x00404546,22,0x00404530-0x00404546,??__Eg_UNUSED_SPRITE_VAR05@@YAXXZ,game,source_complete,exact,0x00404530,0x00404546,22,0x00404530-0x00404546,sub_404530,missing,,,,,
0x00404550,0x0040455A,10,0x00404550-0x0040455A,??__Fg_UNUSED_SPRITE_VAR05@@YAXXZ,game,source_complete,exact,0x00404550,0x0040455A,10,0x00404550-0x0040455A,unknown_libname_8,missing,,,,,
0x00404560,0x00404576,22,0x00404560-0x00404576,??__Eg_UNUSED_SPRITE_VAR08@@YAXXZ,game,source_complete,exact,0x00404560,0x00404576,22,0x00404560-0x00404576,sub_404560,missing,,,,,
0x00404580,0x0040458A,10,0x00404580-0x0040458A,??__Fg_UNUSED_SPRITE_VAR08@@YAXXZ,game,source_complete,exact,0x00404580,0x0040458A,10,0x00404580-0x0040458A,unknown_libname_9,missing,,,,,
0x00404590,0x004045A6,22,0x00404590-0x004045A6,??__Eg_UNUSED_SPRITE_VAR04@@YAXXZ,game,source_complete,exact,0x00404590,0x004045A6,22,0x00404590-0x004045A6,sub_404590,missing,,,,,
0x004045B0,0x004045BA,10,0x004045B0-0x004045BA,??__Fg_UNUSED_SPRITE_VAR04@@YAXXZ,game,source_complete,exact,0x004045B0,0x004045BA,10,0x004045B0-0x004045BA,unknown_libname_10,missing,,,,,
0x004045C0,0x004045D6,22,0x004045C0-0x004045D6,??__Eg_UNUSED_SPRITE_VAR01@@YAXXZ,game,source_complete,exact,0x004045C0,0x004045D6,22,0x004045C0-0x004045D6,sub_4045C0,missing,,,,,
0x004045E0,0x004045EA,10,0x004045E0-0x004045EA,??__Fg_UNUSED_SPRITE_VAR01@@YAXXZ,game,source_complete,exact,0x004045E0,0x004045EA,10,0x004045E0-0x004045EA,unknown_libname_11,missing,,,,,
0x004045F0,0x00404606,22,0x004045F0-0x00404606,??__Eg_UNUSED_SPRITE_VAR18@@YAXXZ,game,source_complete,exact,0x004045F0,0x00404606,22,0x004045F0-0x00404606,sub_4045F0,missing,,,,,
0x00404610,0x0040461A,10,0x00404610-0x0040461A,??__Fg_UNUSED_SPRITE_VAR18@@YAXXZ,game,source_complete,exact,0x00404610,0x0040461A,10,0x00404610-0x0040461A,unknown_libname_12,missing,,,,,
0x00404620,0x00404636,22,0x00404620-0x00404636,??__Eg_UNUSED_SPRITE_VAR03@@YAXXZ,game,source_complete,exact,0x00404620,0x00404636,22,0x00404620-0x00404636,sub_404620,missing,,,,,
0x00404640,0x0040464A,10,0x00404640-0x0040464A,??__Fg_UNUSED_SPRITE_VAR03@@YAXXZ,game,source_complete,exact,0x00404640,0x0040464A,10,0x00404640-0x0040464A,unknown_libname_13,missing,,,,,
0x00404650,0x00404666,22,0x00404650-0x00404666,??__Eg_UNUSED_SPRITE_VAR20@@YAXXZ,game,source_complete,exact,0x00404650,0x00404666,22,0x00404650-0x00404666,sub_404650,missing,,,,,
0x00404670,0x0040467A,10,0x00404670-0x0040467A,??__Fg_UNUSED_SPRITE_VAR20@@YAXXZ,game,source_complete,exact,0x00404670,0x0040467A,10,0x00404670-0x0040467A,unknown_libname_14,missing,,,,,
0x00404680,0x00404696,22,0x00404680-0x00404696,??__Eg_UNUSED_SPRITE_VAR16@@YAXXZ,game,source_complete,exact,0x00404680,0x00404696,22,0x00404680-0x00404696,sub_404680,missing,,,,,
0x004046A0,0x004046AA,10,0x004046A0-0x004046AA,??__Fg_UNUSED_SPRITE_VAR16@@YAXXZ,game,source_complete,exact,0x004046A0,0x004046AA,10,0x004046A0-0x004046AA,unknown_libname_15,missing,,,,,
0x004046B0,0x004046C6,22,0x004046B0-0x004046C6,??__Eg_UNUSED_SPRITE_VAR14@@YAXXZ,game,source_complete,exact,0x004046B0,0x004046C6,22,0x004046B0-0x004046C6,sub_4046B0,missing,,,,,
0x004046D0,0x004046DA,10,0x004046D0-0x004046DA,??__Fg_UNUSED_SPRITE_VAR14@@YAXXZ,game,source_complete,exact,0x004046D0,0x004046DA,10,0x004046D0-0x004046DA,unknown_libname_16,missing,,,,,
0x004046E0,0x004046F6,22,0x004046E0-0x004046F6,??__Eg_UNUSED_SPRITE_VAR22@@YAXXZ,game,source_complete,exact,0x004046E0,0x004046F6,22,0x004046E0-0x004046F6,sub_4046E0,missing,,,,,
0x00404700,0x0040470A,10,0x00404700-0x0040470A,??__Fg_UNUSED_SPRITE_VAR22@@YAXXZ,game,source_complete,exact,0x00404700,0x0040470A,10,0x00404700-0x0040470A,unknown_libname_17,missing,,,,,
0x00404710,0x00404726,22,0x00404710-0x00404726,??__Eg_UNUSED_SPRITE_VAR10@@YAXXZ,game,source_complete,exact,0x00404710,0x00404726,22,0x00404710-0x00404726,sub_404710,missing,,,,,
0x00404730,0x0040473A,10,0x00404730-0x0040473A,??__Fg_UNUSED_SPRITE_VAR10@@YAXXZ,game,source_complete,exact,0x00404730,0x0040473A,10,0x00404730-0x0040473A,unknown_libname_18,missing,,,,,
0x00404740,0x00404756,22,0x00404740-0x00404756,??__Eg_UNUSED_SPRITE_VAR15@@YAXXZ,game,source_complete,exact,0x00404740,0x00404756,22,0x00404740-0x00404756,sub_404740,missing,,,,,
0x00404760,0x0040476A,10,0x00404760-0x0040476A,??__Fg_UNUSED_SPRITE_VAR15@@YAXXZ,game,source_complete,exact,0x00404760,0x0040476A,10,0x00404760-0x0040476A,unknown_libname_19,missing,,,,,
0x00404770,0x00404786,22,0x00404770-0x00404786,??__Eg_UNUSED_SPRITE_VAR13@@YAXXZ,game,source_complete,exact,0x00404770,0x00404786,22,0x00404770-0x00404786,sub_404770,missing,,,,,
0x00404790,0x0040479A,10,0x00404790-0x0040479A,??__Fg_UNUSED_SPRITE_VAR13@@YAXXZ,game,source_complete,exact,0x00404790,0x0040479A,10,0x00404790-0x0040479A,unknown_libname_20,missing,,,,,
0x004047A0,0x004047B6,22,0x004047A0-0x004047B6,??__Eg_UNUSED_SPRITE_VAR17@@YAXXZ,game,source_complete,exact,0x004047A0,0x004047B6,22,0x004047A0-0x004047B6,sub_4047A0,missing,,,,,
0x004047C0,0x004047CA,10,0x004047C0-0x004047CA,??__Fg_UNUSED_SPRITE_VAR17@@YAXXZ,game,source_complete,exact,0x004047C0,0x004047CA,10,0x004047C0-0x004047CA,unknown_libname_21,missing,,,,,
0x004047D0,0x004047E6,22,0x004047D0-0x004047E6,??__Eg_UNUSED_SPRITE_VAR19@@YAXXZ,game,source_complete,exact,0x004047D0,0x004047E6,22,0x004047D0-0x004047E6,sub_4047D0,missing,,,,,
