address,end_address,size,segment,name,prototype,body_ranges,binary_kind,flags,source_locations,source_statuses,redirect_exports,original_dependencies,recovery_state,priority,notes,comments,call_target_count,caller_count
0x00403340,0x00403544,516,.text,?on_redraw@AlphaMenu@@QAEXXZ,void (__thiscall ?on_redraw@AlphaMenu@@QAEXXZ)(AlphaMenu* this),0x00403340-0x00403544,game,frame;hidden;sp_ready;purged_ok,,,,,unrecovered,,,,7,0
0x00403550,0x0040360F,191,.text,?on_mouse_move@AlphaMenu@@QAEXHH@Z,"void (__thiscall ?on_mouse_move@AlphaMenu@@QAEXHH@Z)(AlphaMenu* this, int xCoord, int yCoord)",0x00403550-0x0040360F,game,frame;sp_ready;purged_ok,,,,,unrecovered,,,,2,0
0x00403610,0x00403613,3,.text,?requested_height@AlphaMenu@@QAEHXZ,int (__thiscall ?requested_height@AlphaMenu@@QAEHXZ)(AlphaMenu* this),0x00403610-0x00403613,game,hidden;sp_ready;purged_ok,src/alphamenu.cpp:23,Complete,,,source_complete,,,,0,0
0x00403620,0x00403677,87,.text,?on_adjust_pulldown_pos@AlphaMenu@@QAEXPAHPAH@Z,"void (__thiscall ?on_adjust_pulldown_pos@AlphaMenu@@QAEXPAHPAH@Z)(AlphaMenu* this, int*, int*)",0x00403620-0x00403677,game,frame;hidden;sp_ready;purged_ok,,,,,unrecovered,,,,0,0
0x00403680,0x0040382F,431,.text,?show@AlphaMenu@@QAEXXZ,void (__thiscall ?show@AlphaMenu@@QAEXXZ)(AlphaMenu* this),0x00403680-0x0040382F,game,frame;hidden;sp_ready;purged_ok,,,,,unrecovered,,,,8,3
0x00403830,0x00403AE5,693,.text,?hide@AlphaMenu@@QAEXXZ,void (__thiscall ?hide@AlphaMenu@@QAEXXZ)(AlphaMenu* this),0x00403830-0x00403AE5,game,frame;hidden;sp_ready;purged_ok,,,,,unrecovered,,,,12,8
0x00403AF0,0x00403B70,128,.text,?fill_func@AlphaMenu@@QAAHPAUGraphicWin@@HPAURECT@@@Z,,0x00403AF0-0x00403B70,game,frame;hidden;sp_ready;purged_ok,,,,,unrecovered,,,,2,0
0x00403B70,0x00403B94,36,.text,?backfill_func@AlphaMenu@@QAAHPAUGraphicWin@@@Z,,0x00403B70-0x00403B94,game,frame;hidden;sp_ready;purged_ok,,,,,unrecovered,,,,1,0
0x00403BA0,0x00403BDF,63,.text,?amovie_project@@YAXH@Z,,0x00403BA0-0x00403BDF,game,frame;hidden;sp_ready;purged_ok,,,,,unrecovered,,,,4,2
0x00403BE0,0x0040400D,1321,.text,?amovie_project@@YAXPAD@Z,,0x00403BE0-0x0040400D;0x006505E0-0x006506DC,game,frame;sp_ready;purged_ok,,,,,unrecovered,,,,16,5
0x00404010,0x00404067,105,.text,??0AlphaMovie@@QAE@XZ,void (__thiscall ??0AlphaMovie@@QAE@XZ)(AlphaMovie* this),0x00404010-0x00404067;0x006506DC-0x006506EE,game,frame;sp_ready;purged_ok,,,,,unrecovered,,,,2,0
0x00404070,0x004041BF,335,.text,?exec@AlphaMovie@@QAEHPAD@Z,"int (__thiscall ?exec@AlphaMovie@@QAEHPAD@Z)(AlphaMovie* this, int8* lpszPath)",0x00404070-0x004041BF,game,frame;hidden;sp_ready;purged_ok,,,,,unrecovered,,,,9,1
0x004041C0,0x004041D2,18,.text,?on_modal@AlphaMovie@@QAE_NXZ,bool (__thiscall ?on_modal@AlphaMovie@@QAE_NXZ)(AlphaMovie* this),0x004041C0-0x004041D2,game,hidden;sp_ready;purged_ok,src/leaf_recoveries.cpp:1010,Complete,,,source_complete,,,,1,0
0x004041E0,0x004041F7,23,.text,?close@AlphaMovie@@QAEXXZ,void (__thiscall ?close@AlphaMovie@@QAEXXZ)(AlphaMovie* this),0x004041E0-0x004041F7,game,hidden;sp_ready;purged_ok,,,,,unrecovered,,,,2,0
0x00404200,0x00404208,8,.text,?UNK1@AlphaMovie@@QAEXXZ,void (__thiscall ?UNK1@AlphaMovie@@QAEXXZ)(AlphaMovie* this),0x00404200-0x00404208,game,hidden;sp_ready;purged_ok,,,,,unrecovered,,,,0,0
0x00404210,0x00404220,16,.text,?on_key_click@AlphaMovie@@QAEHHH@Z,"int (__thiscall ?on_key_click@AlphaMovie@@QAEHHH@Z)(AlphaMovie* this, int, int)",0x00404210-0x00404220,game,hidden;sp_ready;purged_ok,src/delegation_thunks.cpp:45,Complete,,,source_complete,,,,0,0
0x00404220,0x00404225,5,.text,?UNK2@AlphaMovie@@QAEHHHH@Z,"int (__thiscall ?UNK2@AlphaMovie@@QAEHHHH@Z)(AlphaMovie* this, int, int, int)",0x00404220-0x00404225,game,hidden;sp_ready;purged_ok,src/alphamovie.cpp:36,Complete,,,source_complete,,,,0,0
0x00404230,0x0040423A,10,.text,?UNK3@AlphaMovie@@QAEHH@Z,"int (__thiscall ?UNK3@AlphaMovie@@QAEHH@Z)(AlphaMovie* this, int)",0x00404230-0x0040423A,game,frame;hidden;sp_ready;purged_ok,src/alphamovie.cpp:73,Complete,,,source_complete,,,,0,0
0x00404240,0x00404245,5,.text,?UNK4@AlphaMovie@@QAEHHHHH@Z,"int (__thiscall ?UNK4@AlphaMovie@@QAEHHHHH@Z)(AlphaMovie* this, int, int, int, int)",0x00404240-0x00404245,game,hidden;sp_ready;purged_ok,src/alphamovie.cpp:50,Complete,,,source_complete,,,,0,0
0x00404250,0x00404255,5,.text,?UNK5@AlphaMovie@@QAEHH@Z,"int (__thiscall ?UNK5@AlphaMovie@@QAEHH@Z)(AlphaMovie* this, int)",0x00404250-0x00404255,game,hidden;sp_ready;purged_ok,src/alphamovie.cpp:87,Complete,,,source_complete,,,,0,0
0x00404260,0x00404263,3,.text,?UNK6@AlphaMovie@@QAEXHH@Z,"void (__thiscall ?UNK6@AlphaMovie@@QAEXHH@Z)(AlphaMovie* this, int, int)",0x00404260-0x00404263,game,hidden;sp_ready;purged_ok,src/alphamovie.cpp:101,Complete,,,source_complete,,,,0,0
0x00404270,0x00404273,3,.text,?UNK6@AlphaMovie@@QAEXH@Z,"void (__thiscall ?UNK6@AlphaMovie@@QAEXH@Z)(AlphaMovie* this, int)",0x00404270-0x00404273,game,hidden;sp_ready;purged_ok,src/alphamovie.cpp:114,Complete,,,source_complete,,,,0,0
0x00404280,0x00404281,1,.text,?UNK7@AlphaMovie@@QAEXXZ,void (__thiscall ?UNK7@AlphaMovie@@QAEXXZ)(AlphaMovie* this),0x00404280-0x00404281,game,hidden;sp_ready;purged_ok,src/alphamovie.cpp:23,Complete,,,source_complete,,,,0,0
0x00404290,0x00404298,8,.text,?update@AlphaMovie@@QAEXXZ,void (__thiscall ?update@AlphaMovie@@QAEXXZ)(AlphaMovie* this),0x00404290-0x00404298,game,hidden;sp_ready;purged_ok,,,,,unrecovered,,,,1,0
0x004042A0,0x004042A8,8,.text,?UNK8@AlphaMovie@@QAEHHH@Z,"int (__thiscall ?UNK8@AlphaMovie@@QAEHHH@Z)(AlphaMovie* this, int, int)",0x004042A0-0x004042A8,game,hidden;sp_ready;purged_ok,src/alphamovie.cpp:127,Complete,,,source_complete,,,,0,0
0x004042B0,0x004042B3,3,.text,sub_4042b0,,0x004042B0-0x004042B3,game,hidden;sp_ready;purged_ok,,,,Sub004042B0Target,original_dependency,,,,0,0
0x004042C0,0x00404309,94,.text,??1MCIVideo@@QAE@XZ,void (__thiscall ??1MCIVideo@@QAE@XZ)(MCIVideo* this),0x004042C0-0x00404309;0x006506F0-0x00650705,game,frame;hidden;sp_ready;purged_ok,,,,,unrecovered,,,,2,1
0x00404310,0x00404395,176,.text,??1AlphaMovie@@QAE@XZ,void (__thiscall ??1AlphaMovie@@QAE@XZ)(AlphaMovie* this),0x00404310-0x00404395;0x00650710-0x0065073B,game,frame;hidden;sp_ready;purged_ok,,,,AlphaMovieDtorTarget,original_dependency,,,,4,1
0x004043A0,0x004043C1,33,.text,??_GAlphaMovie@@UAEPAXI@Z,,0x004043A0-0x004043C1,game,hidden;sp_ready;purged_ok,src/deleting_thunks.cpp:161,Complete,,,source_complete,,,,2,0
0x004043D0,0x0040441C,100,.text,??1UV2Player@@QAE@XZ,void (__thiscall ??1UV2Player@@QAE@XZ)(UV2Player* this),0x004043D0-0x0040441C;0x00650740-0x00650758,game,frame;hidden;sp_ready;purged_ok,,,,,unrecovered,,,,2,0
0x00404420,0x0040442B,11,.text,sub_404420,,0x00404420-0x0040442B,game,hidden;sp_ready;purged_ok,src/deleting_thunks.cpp:177,Complete,,,source_complete,,,,0,0
0x00404430,0x0040443B,11,.text,??3AlphaMovie@@SAXPAXI@Z,,0x00404430-0x0040443B,game,hidden;sp_ready;purged_ok,src/deleting_thunks.cpp:189,Complete,,,source_complete,,,,0,0
0x00404440,0x00404456,22,.text,??__Eg_UNUSED_SPRITE_VAR02@@YAXXZ,,0x00404440-0x00404456,game,hidden;sp_ready;purged_ok,src/init_thunks.cpp:227,Complete,,,source_complete,,,,2,0
0x00404460,0x0040446A,10,.text,??__Fg_UNUSED_SPRITE_VAR02@@YAXXZ,,0x00404460-0x0040446A,game,hidden;sp_ready;purged_ok,src/atexit_thunks.cpp:435,Complete,,,source_complete,,,,0,0
0x00404470,0x00404486,22,.text,??__Eg_UNUSED_SPRITE_VAR11@@YAXXZ,,0x00404470-0x00404486,game,hidden;sp_ready;purged_ok,src/init_thunks.cpp:238,Complete,,,source_complete,,,,2,0
0x00404490,0x0040449A,10,.text,??__Fg_UNUSED_SPRITE_VAR11@@YAXXZ,,0x00404490-0x0040449A,game,hidden;sp_ready;purged_ok,src/atexit_thunks.cpp:445,Complete,,,source_complete,,,,0,0
0x004044A0,0x004044B6,22,.text,??__Eg_UNUSED_SPRITE_VAR06@@YAXXZ,,0x004044A0-0x004044B6,game,hidden;sp_ready;purged_ok,src/init_thunks.cpp:249,Complete,,,source_complete,,,,2,0
0x004044C0,0x004044CA,10,.text,??__Fg_UNUSED_SPRITE_VAR06@@YAXXZ,,0x004044C0-0x004044CA,game,hidden;sp_ready;purged_ok,src/atexit_thunks.cpp:455,Complete,,,source_complete,,,,0,0
0x004044D0,0x004044E6,22,.text,??__Eg_UNUSED_SPRITE_VAR09@@YAXXZ,,0x004044D0-0x004044E6,game,hidden;sp_ready;purged_ok,src/init_thunks.cpp:260,Complete,,,source_complete,,,,2,0
0x004044F0,0x004044FA,10,.text,??__Fg_UNUSED_SPRITE_VAR09@@YAXXZ,,0x004044F0-0x004044FA,game,hidden;sp_ready;purged_ok,src/atexit_thunks.cpp:465,Complete,,,source_complete,,,,0,0
0x00404500,0x00404516,22,.text,??__Eg_UNUSED_SPRITE_VAR21@@YAXXZ,,0x00404500-0x00404516,game,hidden;sp_ready;purged_ok,src/init_thunks.cpp:271,Complete,,,source_complete,,,,2,0
0x00404520,0x0040452A,10,.text,??__Fg_UNUSED_SPRITE_VAR21@@YAXXZ,,0x00404520-0x0040452A,game,hidden;sp_ready;purged_ok,src/atexit_thunks.cpp:475,Complete,,,source_complete,,,,0,0
0x00404530,0x00404546,22,.text,??__Eg_UNUSED_SPRITE_VAR05@@YAXXZ,,0x00404530-0x00404546,game,hidden;sp_ready;purged_ok,src/init_thunks.cpp:282,Complete,,,source_complete,,,,2,0
0x00404550,0x0040455A,10,.text,??__Fg_UNUSED_SPRITE_VAR05@@YAXXZ,,0x00404550-0x0040455A,game,hidden;sp_ready;purged_ok,src/atexit_thunks.cpp:485,Complete,,,source_complete,,,,0,0
0x00404560,0x00404576,22,.text,??__Eg_UNUSED_SPRITE_VAR08@@YAXXZ,,0x00404560-0x00404576,game,hidden;sp_ready;purged_ok,src/init_thunks.cpp:293,Complete,,,source_complete,,,,2,0
0x00404580,0x0040458A,10,.text,??__Fg_UNUSED_SPRITE_VAR08@@YAXXZ,,0x00404580-0x0040458A,game,hidden;sp_ready;purged_ok,src/atexit_thunks.cpp:495,Complete,,,source_complete,,,,0,0
0x00404590,0x004045A6,22,.text,??__Eg_UNUSED_SPRITE_VAR04@@YAXXZ,,0x00404590-0x004045A6,game,sp_ready;purged_ok,src/init_thunks.cpp:304,Complete,,,source_complete,,,,2,0
0x004045B0,0x004045BA,10,.text,??__Fg_UNUSED_SPRITE_VAR04@@YAXXZ,,0x004045B0-0x004045BA,game,hidden;sp_ready;purged_ok,src/atexit_thunks.cpp:505,Complete,,,source_complete,,,,0,0
0x004045C0,0x004045D6,22,.text,??__Eg_UNUSED_SPRITE_VAR01@@YAXXZ,,0x004045C0-0x004045D6,game,hidden;sp_ready;purged_ok,src/init_thunks.cpp:315,Complete,,,source_complete,,,,2,0
0x004045E0,0x004045EA,10,.text,??__Fg_UNUSED_SPRITE_VAR01@@YAXXZ,,0x004045E0-0x004045EA,game,hidden;sp_ready;purged_ok,src/atexit_thunks.cpp:515,Complete,,,source_complete,,,,0,0
0x004045F0,0x00404606,22,.text,??__Eg_UNUSED_SPRITE_VAR18@@YAXXZ,,0x004045F0-0x00404606,game,hidden;sp_ready;purged_ok,src/init_thunks.cpp:326,Complete,,,source_complete,,,,2,0
0x00404610,0x0040461A,10,.text,??__Fg_UNUSED_SPRITE_VAR18@@YAXXZ,,0x00404610-0x0040461A,game,hidden;sp_ready;purged_ok,src/atexit_thunks.cpp:525,Complete,,,source_complete,,,,0,0
0x00404620,0x00404636,22,.text,??__Eg_UNUSED_SPRITE_VAR03@@YAXXZ,,0x00404620-0x00404636,game,hidden;sp_ready;purged_ok,src/init_thunks.cpp:337,Complete,,,source_complete,,,,2,0
0x00404640,0x0040464A,10,.text,??__Fg_UNUSED_SPRITE_VAR03@@YAXXZ,,0x00404640-0x0040464A,game,hidden;sp_ready;purged_ok,src/atexit_thunks.cpp:535,Complete,,,source_complete,,,,0,0
0x00404650,0x00404666,22,.text,??__Eg_UNUSED_SPRITE_VAR20@@YAXXZ,,0x00404650-0x00404666,game,hidden;sp_ready;purged_ok,src/init_thunks.cpp:348,Complete,,,source_complete,,,,2,0
0x00404670,0x0040467A,10,.text,??__Fg_UNUSED_SPRITE_VAR20@@YAXXZ,,0x00404670-0x0040467A,game,hidden;sp_ready;purged_ok,src/atexit_thunks.cpp:545,Complete,,,source_complete,,,,0,0
0x00404680,0x00404696,22,.text,??__Eg_UNUSED_SPRITE_VAR16@@YAXXZ,,0x00404680-0x00404696,game,sp_ready;purged_ok,src/init_thunks.cpp:359,Complete,,,source_complete,,,,2,0
0x004046A0,0x004046AA,10,.text,??__Fg_UNUSED_SPRITE_VAR16@@YAXXZ,,0x004046A0-0x004046AA,game,hidden;sp_ready;purged_ok,src/atexit_thunks.cpp:555,Complete,,,source_complete,,,,0,0
0x004046B0,0x004046C6,22,.text,??__Eg_UNUSED_SPRITE_VAR14@@YAXXZ,,0x004046B0-0x004046C6,game,hidden;sp_ready;purged_ok,src/init_thunks.cpp:370,Complete,,,source_complete,,,,2,0
0x004046D0,0x004046DA,10,.text,??__Fg_UNUSED_SPRITE_VAR14@@YAXXZ,,0x004046D0-0x004046DA,game,hidden;sp_ready;purged_ok,src/atexit_thunks.cpp:565,Complete,,,source_complete,,,,0,0
0x004046E0,0x004046F6,22,.text,??__Eg_UNUSED_SPRITE_VAR22@@YAXXZ,,0x004046E0-0x004046F6,game,hidden;sp_ready;purged_ok,src/init_thunks.cpp:381,Complete,,,source_complete,,,,2,0
0x00404700,0x0040470A,10,.text,??__Fg_UNUSED_SPRITE_VAR22@@YAXXZ,,0x00404700-0x0040470A,game,hidden;sp_ready;purged_ok,src/atexit_thunks.cpp:575,Complete,,,source_complete,,,,0,0
0x00404710,0x00404726,22,.text,??__Eg_UNUSED_SPRITE_VAR10@@YAXXZ,,0x00404710-0x00404726,game,hidden;sp_ready;purged_ok,src/init_thunks.cpp:392,Complete,,,source_complete,,,,2,0
0x00404730,0x0040473A,10,.text,??__Fg_UNUSED_SPRITE_VAR10@@YAXXZ,,0x00404730-0x0040473A,game,hidden;sp_ready;purged_ok,src/atexit_thunks.cpp:585,Complete,,,source_complete,,,,0,0
0x00404740,0x00404756,22,.text,??__Eg_UNUSED_SPRITE_VAR15@@YAXXZ,,0x00404740-0x00404756,game,hidden;sp_ready;purged_ok,src/init_thunks.cpp:403,Complete,,,source_complete,,,,2,0
0x00404760,0x0040476A,10,.text,??__Fg_UNUSED_SPRITE_VAR15@@YAXXZ,,0x00404760-0x0040476A,game,hidden;sp_ready;purged_ok,src/atexit_thunks.cpp:595,Complete,,,source_complete,,,,0,0
0x00404770,0x00404786,22,.text,??__Eg_UNUSED_SPRITE_VAR13@@YAXXZ,,0x00404770-0x00404786,game,hidden;sp_ready;purged_ok,src/init_thunks.cpp:414,Complete,,,source_complete,,,,2,0
0x00404790,0x0040479A,10,.text,??__Fg_UNUSED_SPRITE_VAR13@@YAXXZ,,0x00404790-0x0040479A,game,hidden;sp_ready;purged_ok,src/atexit_thunks.cpp:605,Complete,,,source_complete,,,,0,0
0x004047A0,0x004047B6,22,.text,??__Eg_UNUSED_SPRITE_VAR17@@YAXXZ,,0x004047A0-0x004047B6,game,hidden;sp_ready;purged_ok,src/init_thunks.cpp:425,Complete,,,source_complete,,,,2,0
0x004047C0,0x004047CA,10,.text,??__Fg_UNUSED_SPRITE_VAR17@@YAXXZ,,0x004047C0-0x004047CA,game,hidden;sp_ready;purged_ok,src/atexit_thunks.cpp:615,Complete,,,source_complete,,,,0,0
0x004047D0,0x004047E6,22,.text,??__Eg_UNUSED_SPRITE_VAR19@@YAXXZ,,0x004047D0-0x004047E6,game,hidden;sp_ready;purged_ok,src/init_thunks.cpp:436,Complete,,,source_complete,,,,2,0
0x004047F0,0x004047FA,10,.text,??__Fg_UNUSED_SPRITE_VAR19@@YAXXZ,,0x004047F0-0x004047FA,game,hidden;sp_ready;purged_ok,src/atexit_thunks.cpp:625,Complete,,,source_complete,,,,0,0
0x00404800,0x00404816,22,.text,??__Eg_UNUSED_SPRITE_VAR12@@YAXXZ,,0x00404800-0x00404816,game,hidden;sp_ready;purged_ok,src/init_thunks.cpp:447,Complete,,,source_complete,,,,2,0
0x00404820,0x0040482A,10,.text,??__Fg_UNUSED_SPRITE_VAR12@@YAXXZ,,0x00404820-0x0040482A,game,hidden;sp_ready;purged_ok,src/atexit_thunks.cpp:635,Complete,,,source_complete,,,,0,0
0x00404830,0x00404846,22,.text,??__Eg_UNUSED_SPRITE_VAR07@@YAXXZ,,0x00404830-0x00404846,game,hidden;sp_ready;purged_ok,src/init_thunks.cpp:458,Complete,,,source_complete,,,,2,0
0x00404850,0x0040485A,10,.text,??__Fg_UNUSED_SPRITE_VAR07@@YAXXZ,,0x00404850-0x0040485A,game,sp_ready;purged_ok,src/atexit_thunks.cpp:645,Complete,,,source_complete,,,,0,0
0x00404860,0x00404896,54,.text,?sprite_draw_func@@YAXPAUSprite@@PAUGraphicWin@@HHH@Z,,0x00404860-0x00404896,game,frame;hidden;sp_ready;purged_ok,,,,,unrecovered,,,,1,0
0x004048A0,0x004048F7,105,.text,??0Popup@@QAE@XZ,void (__thiscall ??0Popup@@QAE@XZ)(Popup* this),0x004048A0-0x004048F7;0x00650760-0x00650772,game,frame;hidden;sp_ready;purged_ok,,,,,unrecovered,,,,2,104
