address,name,shape
0x00422EB0,?timer_callback_daemon@BattleWin@@QAAXHH@Z,straight_line
0x00422EC0,?timer_callback_daemon@BattleWin@@QAAXH@Z,straight_line
0x00422ED0,??1BattleWin@@QAE@XZ,straight_line
0x00422F00,?range@@YAHHHH@Z,straight_line
0x004243A0,??__Eg_COUNCWIN@@YAXXZ,seam_forwarding
0x004243C0,??__Fg_COUNCWIN@@YAXXZ,seam_forwarding
0x00426EB0,?on_group_clicked@CouncWin@@QAEXHH@Z,straight_line
0x00426F80,?on_button_passover@CouncWin@@QAEXHH@Z,straight_line
0x00426F90,?on_button_text_draw@CouncWin@@QAEHPAUGraphicWin@@PADH@Z,straight_line
0x00427060,?on_iface_left_click@CouncWin@@QAEXHH@Z,straight_line
0x00427070,?on_iface_right_click@CouncWin@@QAEXHH@Z,straight_line
0x00427080,?on_iface_left_down@CouncWin@@QAEXHH@Z,straight_line
0x00427090,?on_iface_right_down@CouncWin@@QAEXHH@Z,straight_line
0x004270A0,?on_iface_mouse_move@CouncWin@@QAEXHH@Z,straight_line
0x004270B0,?on_iface_mouse_leave@CouncWin@@QAEXHH@Z,straight_line
0x004270C0,?on_iface_selected@CouncWin@@QAEXHH@Z,straight_line
0x004270D0,?on_iface_left_double_click@CouncWin@@QAEXHH@Z,straight_line
0x004270E0,?on_iface_right_double_click@CouncWin@@QAEXHH@Z,straight_line
0x00427110,?on_iface_button_toggled@CouncWin@@QAEXHH@Z,straight_line
0x00427120,?on_iface_group_clicked@CouncWin@@QAEXHHH@Z,straight_line
0x00428710,??_GCouncWin@@UAEPAXI@Z,straight_line
0x00428740,??3CouncWin@@SAXPAXI@Z,loop
0x00428750,??__Eg_CREDITS_WAVE@@YAXXZ,seam_forwarding
0x00428770,??__Fg_CREDITS_WAVE@@YAXXZ,seam_forwarding
0x00428D60,?on_key_click@Credits@@QAEXHH@Z,straight_line
0x00428D70,?on_left_click@Credits@@QAEXHH@Z,straight_line
0x00428D80,?on_left_down@Credits@@QAEXHH@Z,straight_line
0x00428D90,?on_right_down@Credits@@QAEXHH@Z,straight_line
0x00428DA0,?on_mouse_move@Credits@@QAEXHH@Z,straight_line
0x00428DB0,?on_button_clicked@Credits@@QAEXH@Z,straight_line
0x00428E60,??_GCredits@@UAEPAXI@Z,straight_line
0x00428F80,??3Credits@@SAXPAXI@Z,loop
0x00428F90,??__Eg_DATALINK@@YAXXZ,seam_forwarding
0x00428FB0,??__Fg_DATALINK@@YAXXZ,seam_forwarding
0x0042A020,?UNK1@Datalink@@QAEHHH@Z,straight_line
0x0042A040,?parse_id@Datalink@@QAEXHPAUDatalinkID@@PAH@Z,straight_line
0x0042BD20,?close@Datalink@@QAEXXZ,straight_line
0x0042BEA0,?UNK6@Datalink@@QAEXXZ,straight_line
0x0042BF00,?UNK8@Datalink@@QAEXXZ,straight_line
0x00431DB0,?UNK9@Datalink@@QAEXXZ,straight_line
0x00431EB0,?on_left_click@Datalink@@QAEXHH@Z,straight_line
0x00431FB0,?on_group_clicked@Datalink@@QAEXHH@Z,straight_line
0x00432000,?on_mouse_move@Datalink@@QAEXHH@Z,straight_line
0x00432160,?on_iface_left_click@Datalink@@QAEXHH@Z,straight_line
0x00432170,?on_iface_right_click@Datalink@@QAEXHH@Z,straight_line
0x00432180,?on_iface_left_down@Datalink@@QAEXHH@Z,straight_line
0x00432190,?on_iface_right_down@Datalink@@QAEXHH@Z,straight_line
0x004321A0,?on_iface_mouse_move@Datalink@@QAEXHH@Z,straight_line
0x004321B0,?on_iface_mouse_leave@Datalink@@QAEXHH@Z,straight_line
0x004321C0,?on_iface_selected@Datalink@@QAEXHH@Z,straight_line
0x004321D0,?on_iface_left_double_click@Datalink@@QAEXHH@Z,straight_line
0x004321E0,?on_iface_right_double_click@Datalink@@QAEXHH@Z,straight_line
0x004321F0,?on_iface_button_clicked@Datalink@@QAEXH@Z,straight_line
0x00432200,?on_iface_button_toggled@Datalink@@QAEXHH@Z,straight_line
0x00432770,??_GStringBox@@UAEPAXI@Z,straight_line
0x00432800,??_GDatalink@@UAEPAXI@Z,straight_line
0x00432830,??3StringBox@@SAXPAXI@Z,loop
