struct,offset,field,size
BaseWindow,0xAFC,field_AFC,4
BaseWindow,0xB00,field_B00,4
BaseWindow,0xB04,field_B04,4
BaseWindow,0xB08,field_B08,4
BaseWindow,0xB0C,field_B0C,4
BaseWindow,0xB10,field_B10,4
BaseWindow,0xB14,field_B14,4
BaseWindow,0xB18,field_B18,4
BaseWindow,0xB1C,field_B1C,4
BaseWindow,0xB20,field_B20,4
BaseWindow,0xB24,field_B24,4
BaseWindow,0xB28,field_B28,4
BaseWindow,0xB2C,field_B2C,4
BaseWindow,0xB30,field_B30,4
BaseWindow,0xB34,field_B34,4
BaseWindow,0xB38,field_B38,4
BaseWindow,0xB3C,field_B3C,4
BaseWindow,0xB40,field_B40,4
BaseWindow,0xB44,field_B44,4
BaseWindow,0xB48,field_B48,4
BaseWindow,0xB4C,field_B4C,4
BaseWindow,0xB50,field_B50,4
BaseWindow,0xB54,field_B54,4
BaseWindow,0xB58,field_B58,4
BaseWindow,0xB5C,field_B5C,4
BaseWindow,0xB60,field_B60,4
BaseWindow,0xB64,field_B64,4
BaseWindow,0xB68,field_B68,4
BaseWindow,0xB6C,field_B6C,4
BaseWindow,0xB70,field_B70,4
BaseWindow,0xB74,field_B74,4
BaseWindow,0xB78,field_B78,4
BaseWindow,0xB7C,field_B7C,4
BaseWindow,0xB80,field_B80,4
BaseWindow,0xB84,field_B84,4
BaseWindow,0xB88,field_B88,4
BaseWindow,0xB8C,field_B8C,4
BaseWindow,0xB90,field_B90,4
BaseWindow,0xB94,field_B94,4
BaseWindow,0xB98,field_B98,4
BaseWindow,0xB9C,field_B9C,4
BaseWindow,0xBA0,field_BA0,4
BaseWindow,0xBA4,field_BA4,4
BaseWindow,0xBA8,field_BA8,4
BaseWindow,0xBAC,field_BAC,4
BaseWindow,0xBB0,field_BB0,4
BaseWindow,0xBB4,field_BB4,4
BaseWindow,0xBB8,field_BB8,4
BaseWindow,0xBBC,field_BBC,4
BaseWindow,0xBC0,field_BC0,4
BaseWindow,0xBC4,field_BC4,4
BaseWindow,0xBC8,field_BC8,4
BaseWindow,0xBCC,field_BCC,4
BaseWindow,0xBD0,field_BD0,4
BaseWindow,0xBD4,field_BD4,4
BaseWindow,0xBD8,field_BD8,4
BaseWindow,0xBDC,field_BDC,4
BaseWindow,0xBE0,field_BE0,4
BaseWindow,0xBE4,field_BE4,4
BaseWindow,0xBE8,field_BE8,4
BaseWindow,0xBEC,field_BEC,4
BaseWindow,0xBF0,field_BF0,4
BaseWindow,0xBF4,field_BF4,4
BaseWindow,0xBF8,field_BF8,4
BaseWindow,0xBFC,field_BFC,4
BaseWindow,0xC00,field_C00,4
BaseWindow,0xC04,field_C04,4
BaseWindow,0xC08,field_C08,4
BaseWindow,0xC0C,field_C0C,4
BaseWindow,0xC10,field_C10,4
BaseWindow,0xC14,field_C14,4
BaseWindow,0xC18,field_C18,4
BaseWindow,0xC1C,field_C1C,4
BaseWindow,0xC20,field_C20,4
BaseWindow,0xC24,field_C24,4
BaseWindow,0xC28,field_C28,4
BaseWindow,0xC2C,field_C2C,4
BaseWindow,0xC30,field_C30,4
BaseWindow,0xC34,field_C34,4
BaseWindow,0xC38,field_C38,4
BaseWindow,0xC3C,field_C3C,4
BaseWindow,0xC40,field_C40,4
BaseWindow,0xC44,field_C44,4
BaseWindow,0xC48,field_C48,4
BaseWindow,0xC4C,field_C4C,4
BaseWindow,0xC50,field_C50,4
BaseWindow,0xC54,field_C54,4
BaseWindow,0xC58,field_C58,4
BaseWindow,0xC5C,field_C5C,4
BaseWindow,0xC60,field_C60,4
BaseWindow,0xC64,field_C64,4
BaseWindow,0xC68,field_C68,4
BaseWindow,0xC6C,field_C6C,4
BaseWindow,0xC70,field_C70,4
BaseWindow,0xC74,field_C74,4
BaseWindow,0xC78,field_C78,4
BaseWindow,0xC7C,field_C7C,4
BaseWindow,0xC80,field_C80,4
BaseWindow,0xC84,field_C84,4
BaseWindow,0xC88,field_C88,4
BaseWindow,0xC8C,field_C8C,4
BaseWindow,0xC90,field_C90,4
BaseWindow,0xC94,field_C94,4
BaseWindow,0xC98,field_C98,4
BaseWindow,0xC9C,field_C9C,4
BaseWindow,0xCA0,field_CA0,4
BaseWindow,0xCA4,field_CA4,4
BaseWindow,0xCA8,field_CA8,4
BaseWindow,0xCAC,field_CAC,4
BaseWindow,0xCB0,field_CB0,4
BaseWindow,0xCB4,field_CB4,4
BaseWindow,0xCB8,field_CB8,4
BaseWindow,0xCBC,field_CBC,4
BaseWindow,0xCC0,field_CC0,4
BaseWindow,0xCC4,field_CC4,4
BaseWindow,0xCC8,field_CC8,4
BaseWindow,0xCCC,field_CCC,4
BaseWindow,0xCD0,field_CD0,4
BaseWindow,0xCD4,field_CD4,4
BaseWindow,0xCD8,field_CD8,4
