class,lower_bound,evidence
Strings,0x18,"mov dword ptr [esi + 0x14], 0 at 0x006168D8"
SubInterface,0x8,"mov edx, dword ptr [esi + 4] at 0x0045D319"
TexHeap,0x10,"mov eax, dword ptr [esi + 0xc] at 0x00634FFC"
Text,0x160,"mov dword ptr [eax + 0x15c], ecx at 0x005FD878"
TextIndex,0x10C,"mov esi, dword ptr [esi + 0x108] at 0x005FE185"
Texture,0x70,"mov dword ptr [eax + 0x6c], ecx at 0x0061965C"
TextureStore,0x8,"mov dword ptr [eax + 4], 0 at 0x006252A8"
Time,0x28,"mov dword ptr [eax + 0x24], ecx at 0x006161F0"
TutWin,0x53D8,"mov dword ptr [esi + 0x53d4], eax at 0x004BA6DF"
UAmbience,0x6D,"mov al, byte ptr [esi + 0x6c] at 0x00447533"
UV2Player,0xE68,"mov ecx, dword ptr [ebx + 0xe64] at 0x004BEE08"
Vector,0xC,"mov dword ptr [eax + 8], ecx at 0x006343C9"
Video,0x1028,"mov dword ptr [esi + 0x1024], edi at 0x00636477"
VoiceRx,0x54,"mov dword ptr [esi + 0x50], ebx at 0x004C89E6"
VoiceTx,0x58,"mov eax, dword ptr [esi + 0x54] at 0x004C8EE8"
Wave,0x6C,"mov dword ptr [esi + 0x68], 0x10 at 0x004C6799"
WaveControlGroup,0x18,"mov dword ptr [eax + 0x14], ecx at 0x004C549D"
Wave_Device,0x20,"mov dword ptr [esi + 0x1c], edi at 0x004C4E14"
Wave_In_Device,0x20,"mov dword ptr [esi + 0x1c], edi at 0x004C5961"
Win,0x444,"mov dword ptr [esi + 0x440], eax at 0x005EB53F"
WorldWin,0x239D4,"mov eax, dword ptr [esi + 0x239d0] at 0x004C47FB"
